1
43.0000,601.0000,127.0000,601.0000,127.0000,652.0000,43.0000,652.0000
48.0000,606.0000,132.0000,606.0000,132.0000,656.0000,48.0000,656.0000
60.0000,607.0000,144.0000,607.0000,144.0000,657.0000,60.0000,657.0000
64.0000,607.0000,146.0000,607.0000,146.0000,657.0000,64.0000,657.0000
85.0000,600.0000,167.0000,600.0000,167.0000,649.0000,85.0000,649.0000
99.0000,599.0000,182.0000,599.0000,182.0000,649.0000,99.0000,649.0000
127.0000,596.0000,212.0000,596.0000,212.0000,648.0000,127.0000,648.0000
139.0000,593.0000,222.0000,593.0000,222.0000,643.0000,139.0000,643.0000
176.0000,593.0000,258.0000,593.0000,258.0000,643.0000,176.0000,643.0000
223.0000,594.0000,306.0000,594.0000,306.0000,644.0000,223.0000,644.0000
266.0000,588.0000,348.0000,588.0000,348.0000,638.0000,266.0000,638.0000
297.0000,592.0000,380.0000,592.0000,380.0000,642.0000,297.0000,642.0000
320.0000,597.0000,402.0000,597.0000,402.0000,647.0000,320.0000,647.0000
369.0000,588.0000,451.0000,588.0000,451.0000,638.0000,369.0000,638.0000
400.0000,587.0000,481.0000,587.0000,481.0000,636.0000,400.0000,636.0000
426.0000,588.0000,507.0000,588.0000,507.0000,638.0000,426.0000,638.0000
443.0000,596.0000,523.0000,596.0000,523.0000,645.0000,443.0000,645.0000
487.0000,590.0000,567.0000,590.0000,567.0000,639.0000,487.0000,639.0000
516.0000,590.0000,596.0000,590.0000,596.0000,639.0000,516.0000,639.0000
531.0000,590.0000,611.0000,590.0000,611.0000,639.0000,531.0000,639.0000
543.0000,591.0000,625.0000,591.0000,625.0000,641.0000,543.0000,641.0000
557.0000,589.0000,640.0000,589.0000,640.0000,639.0000,557.0000,639.0000
570.0000,589.0000,652.0000,589.0000,652.0000,639.0000,570.0000,639.0000
582.0000,584.0000,666.0000,584.0000,666.0000,634.0000,582.0000,634.0000
600.0000,579.0000,683.0000,579.0000,683.0000,630.0000,600.0000,630.0000
622.0000,575.0000,706.0000,575.0000,706.0000,626.0000,622.0000,626.0000
639.0000,573.0000,723.0000,573.0000,723.0000,624.0000,639.0000,624.0000
651.0000,567.0000,736.0000,567.0000,736.0000,619.0000,651.0000,619.0000
618.0000,581.0000,703.0000,581.0000,703.0000,633.0000,618.0000,633.0000
574.0000,575.0000,660.0000,575.0000,660.0000,628.0000,574.0000,628.0000
569.0000,583.0000,658.0000,583.0000,658.0000,637.0000,569.0000,637.0000
626.0000,580.0000,715.0000,580.0000,715.0000,634.0000,626.0000,634.0000
673.0000,581.0000,764.0000,581.0000,764.0000,636.0000,673.0000,636.0000
741.0000,580.0000,834.0000,580.0000,834.0000,636.0000,741.0000,636.0000
786.0000,580.0000,879.0000,580.0000,879.0000,636.0000,786.0000,636.0000
859.0000,574.0000,953.0000,574.0000,953.0000,631.0000,859.0000,631.0000
895.0000,579.0000,990.0000,579.0000,990.0000,636.0000,895.0000,636.0000
965.0000,567.0000,1060.0000,567.0000,1060.0000,624.0000,965.0000,624.0000
